#{"t_start": 1775791463.40414, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error
-435674.490997,64,0.304973,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-438665.328059,64,0.616795,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-441613.681051,64,0.957351,6452353994.253611,1983906.9872386586,628054.8096819042,265.61200310176287
-448152.456772,64,1.256946,6471211908.653267,1978551.7838549574,305017.8809963714,302.24834898035124
-436271.09629,64,1.626519,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-438014.848503,64,1.931186,6481467166.926547,2024289.745032102,846594.0070276607,247.2322230835647
-426174.711072,64,2.275204,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-451096.964701,64,2.588544,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-438300.250197,64,2.966256,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-445559.318505,64,3.26717,6618771657.267885,2083088.6154636594,0.0,344.4055231584821
-439890.799529,64,3.654501,7138000060.071039,2827085.2995896996,4197467.103251327,542.1520107931398
-438733.386646,64,3.999558,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-438318.53764,64,4.441492,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-444593.814782,64,4.805887,7074434084.469374,2711233.6511746584,3297773.7743899175,401.24026563554463
-445635.412215,64,5.201382,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-439363.51095,64,5.54587,6779444006.52039,2374302.7093810365,2040417.8372312852,258.96322658107306
