#{"t_start": 1775791452.506624, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error
-435676.939212,64,0.312802,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-438667.815468,64,0.648058,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-441610.66092,64,0.998845,6452295186.2844925,1984039.4046761123,630834.6620951358,265.3405482041163
-448148.098761,64,1.30908,6471164756.198899,1978640.2520308567,307114.3637800474,301.981694829675
-436246.736428,64,1.684015,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-437995.489709,64,1.980547,6481321136.909485,2023755.442965625,841382.1847107601,247.5919414405049
-426199.07076,64,2.324178,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-451118.599942,64,2.669081,7452975287.357096,2930093.2318914137,0.0,344.4055231584821
-438335.887445,64,3.07205,6484893236.201254,1973513.979498864,0.0,344.4055231584821
-445603.441471,64,3.397109,6619891425.904394,2084062.0419909535,0.0,344.4055231584821
-439868.071224,64,3.74917,7136527224.089558,2825466.5551493336,4192728.878943254,541.3703621327046
-438714.555365,64,4.078996,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-438306.472523,64,4.49688,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-444596.992189,64,4.814383,7073773610.285959,2710745.4119952666,3299470.014590412,401.48208281252494
-445658.587128,64,5.157357,9022880562.97834,4916303.320344897,9872604.653875671,1553.9251434595953
-439366.36787,64,5.460247,6777167337.139954,2372245.036685142,2042276.2977076047,259.1011206750435
